State,Population,Year
South Dakota,853988,7/1/15
South Dakota,862996,7/1/16
South Dakota,872868,7/1/17
South Dakota,878698,7/1/18
South Dakota,884659,7/1/19
South Dakota,911199,7/1/20
Tennessee,5532607,7/1/99
Tennessee,5703719,7/1/00
Tennessee,5750789,7/1/01
Tennessee,5795918,7/1/02
Tennessee,5847812,7/1/03
Tennessee,5910809,7/1/04
Tennessee,5991057,7/1/05
Tennessee,6088766,7/1/06
Tennessee,6175727,7/1/07
Tennessee,6247411,7/1/08
Tennessee,6306019,7/1/09
Tennessee,6355311,7/1/10
Tennessee,6399291,7/1/11
Tennessee,6453898,7/1/12
Tennessee,6494340,7/1/13
Tennessee,6541223,7/1/14
Tennessee,6591170,7/1/15
Tennessee,6646010,7/1/16
Tennessee,6708799,7/1/17
Tennessee,6771631,7/1/18
Tennessee,6829174,7/1/19
Tennessee,7034049,7/1/20
Texas,20316164,7/1/99
Texas,20944499,7/1/00
Texas,21319622,7/1/01
Texas,21690325,7/1/02
Texas,22030931,7/1/03
Texas,22394023,7/1/04
Texas,22778123,7/1/05
Texas,23359580,7/1/06
Texas,23831983,7/1/07
Texas,24309039,7/1/08
Texas,24801761,7/1/09
Texas,25241971,7/1/10
Texas,25645629,7/1/11
Texas,26084481,7/1/12
Texas,26480266,7/1/13
Texas,26964333,7/1/14
Texas,27470056,7/1/15
Texas,27914410,7/1/16
Texas,28295273,7/1/17
Texas,28628666,7/1/18
Texas,28995881,7/1/19
Texas,29865757,7/1/20
Utah,2177167,7/1/99
Utah,2244502,7/1/00
Utah,2283715,7/1/01
Utah,2324815,7/1/02
Utah,2360137,7/1/03
Utah,2401580,7/1/04
Utah,2457719,7/1/05
Utah,2525507,7/1/06
Utah,2597746,7/1/07
Utah,2663029,7/1/08
Utah,2723421,7/1/09
Utah,2775332,7/1/10
Utah,2814384,7/1/11
Utah,2853375,7/1/12
Utah,2897640,7/1/13
Utah,2936879,7/1/14
Utah,2981835,7/1/15
Utah,3041868,7/1/16
Utah,3101042,7/1/17
Utah,3153550,7/1/18
Utah,3205958,7/1/19
Utah,3302137,7/1/20
Vermont,591329,7/1/99
Vermont,609618,7/1/00
Vermont,612223,7/1/01
Vermont,615442,7/1/02
Vermont,617858,7/1/03
Vermont,619920,7/1/04
Vermont,621215,7/1/05
Vermont,622892,7/1/06
Vermont,623481,7/1/07
Vermont,624151,7/1/08
Vermont,624817,7/1/09
Vermont,625879,7/1/10
Vermont,627049,7/1/11
Vermont,626090,7/1/12
Vermont,626210,7/1/13
Vermont,625214,7/1/14
Vermont,625216,7/1/15
Vermont,623657,7/1/16
Vermont,624344,7/1/17
Vermont,624358,7/1/18
Vermont,623989,7/1/19
Vermont,642709,7/1/20
Virginia,6892642,7/1/99
Virginia,7105817,7/1/00
Virginia,7198362,7/1/01
Virginia,7286873,7/1/02
Virginia,7366977,7/1/03
Virginia,7475575,7/1/04
Virginia,7577105,7/1/05
Virginia,7673725,7/1/06
Virginia,7751000,7/1/07
Virginia,7833496,7/1/08
Virginia,7925937,7/1/09
Virginia,8023699,7/1/10
Virginia,8101155,7/1/11
Virginia,8185080,7/1/12
Virginia,8252427,7/1/13
Virginia,8310993,7/1/14
Virginia,8361808,7/1/15
Virginia,8410106,7/1/16
Virginia,8463587,7/1/17
Virginia,8501286,7/1/18
Virginia,8535519,7/1/19
Virginia,8791585,7/1/20
Washington,5733197,7/1/99
Washington,5910512,7/1/00
Washington,5985722,7/1/01
Washington,6052349,7/1/02
Washington,6104115,7/1/03
Washington,6178645,7/1/04
Washington,6257305,7/1/05
Washington,6370753,7/1/06
Washington,6461587,7/1/07
Washington,6562231,7/1/08
Washington,6667426,7/1/09
Washington,6742830,7/1/10
Washington,6826627,7/1/11
Washington,6897058,7/1/12
Washington,6963985,7/1/13
Washington,7054655,7/1/14
Washington,7163657,7/1/15
Washington,7294771,7/1/16
Washington,7423362,7/1/17
Washington,7523869,7/1/18
Washington,7614893,7/1/19
Washington,7843340,7/1/20
West Virginia,1752810,7/1/99
West Virginia,1807021,7/1/00
West Virginia,1801481,7/1/01
West Virginia,1805414,7/1/02
West Virginia,1812295,7/1/03
West Virginia,1816438,7/1/04
West Virginia,1820492,7/1/05
West Virginia,1827912,7/1/06
West Virginia,1834052,7/1/07
West Virginia,1840310,7/1/08
West Virginia,1847775,7/1/09
West Virginia,1854239,7/1/10
West Virginia,1856301,7/1/11
West Virginia,1856872,7/1/12
West Virginia,1853914,7/1/13
West Virginia,1849489,7/1/14
West Virginia,1842050,7/1/15
West Virginia,1831023,7/1/16
West Virginia,1817004,7/1/17
West Virginia,1804291,7/1/18
West Virginia,1792147,7/1/19
West Virginia,1845911,7/1/20
Wisconsin,5212779,7/1/99
Wisconsin,5373999,7/1/00
Wisconsin,5406835,7/1/01
Wisconsin,5445162,7/1/02
Wisconsin,5479203,7/1/03
Wisconsin,5514026,7/1/04
Wisconsin,5546166,7/1/05
Wisconsin,5577655,7/1/06
Wisconsin,5610775,7/1/07
Wisconsin,5640996,7/1/08
Wisconsin,5669264,7/1/09
Wisconsin,5690475,7/1/10
Wisconsin,5705288,7/1/11
Wisconsin,5719960,7/1/12
Wisconsin,5736754,7/1/13
Wisconsin,5751525,7/1/14
Wisconsin,5760940,7/1/15
Wisconsin,5772628,7/1/16
Wisconsin,5790186,7/1/17
Wisconsin,5807406,7/1/18
Wisconsin,5822434,7/1/19
Wisconsin,5997107,7/1/20
Wyoming,479471,7/1/99
Wyoming,494300,7/1/00
Wyoming,494657,7/1/01
Wyoming,500017,7/1/02
Wyoming,503453,7/1/03
Wyoming,509106,7/1/04
Wyoming,514157,7/1/05
Wyoming,522667,7/1/06
Wyoming,534876,7/1/07
Wyoming,546043,7/1/08
Wyoming,559851,7/1/09
Wyoming,564487,7/1/10
Wyoming,567299,7/1/11
Wyoming,576305,7/1/12
Wyoming,582122,7/1/13
Wyoming,582531,7/1/14
Wyoming,585613,7/1/15
Wyoming,584215,7/1/16
Wyoming,578931,7/1/17
Wyoming,577601,7/1/18
Wyoming,578759,7/1/19
Wyoming,596122,7/1/20
